file_name,COVID
0.png,0
1.png,0
2.png,0
3.png,0
4.png,0
5.png,0
6.png,0
7.png,0
8.png,0
9.png,0
10.png,0
11.png,0
12.png,0
13.png,0
14.png,0
15.png,0
16.png,0
17.png,0
18.png,0
19.png,0
20.png,0
21.png,0
22.png,0
23.png,0
24.png,0
25.png,0
26.png,0
27.png,0
28.png,0
29.png,0
30.png,0
31.png,0
32.png,0
33.png,0
34.png,0
35.png,0
36.png,0
37.png,0
38.png,0
39.png,0
40.png,0
41.png,0
42.png,0
43.png,0
44.png,0
45.png,0
46.png,0
47.png,0
48.png,0
49.png,0
50.png,0
51.png,0
52.png,0
53.png,0
54.png,0
55.png,0
56.png,0
57.png,0
58.png,0
59.png,0
60.png,0
61.png,0
62.png,0
63.png,0
64.png,0
65.png,0
66.png,0
67.png,0
68.png,0
69.png,0
70.png,0
71.png,0
72.png,0
73.png,0
74.png,0
75.png,0
76.png,0
77.png,0
78.png,0
79.png,0
80.png,0
81.png,0
82.png,0
83.png,0
84.png,0
85.png,0
86.png,0
87.png,0
88.png,0
89.png,0
90.png,0
91.png,0
92.png,0
93.png,0
94.png,0
95.png,0
96.png,0
97.png,0
98.png,0
99.png,0
